(2d, 7h, Td, Tc, Ts)
(3d, 3h, 4d, 5s, Jd)
(5s, 6h, 6s, 6d, 7d)
(2s, 2c, 5d, Qd, Kd)
(2c, 4c, 8s, Th, As)
(2c, 2s, 5c, Tc, Th)
(3d, 6d, 7d, Qh, Ah)
(5d, 9d, 9s, Qh, Ac)
(5h, 5s, 8d, Qc, Kd)
(3s, 4c, 9s, As, Ac)
(3c, 6c, 6d, 9d, Ah)
(5h, 6h, 7d, 8d, 9d)
(8s, Tc, Jc, Js, Qc)
(3d, 9h, Jd, Kh, Ac)
(2d, 3c, 7d, Ts, Kc)
(3h, 6d, Ts, Th, Kc)
(3s, 6s, 7h, Ts, Ks)
(2s, 4s, 7h, 9c, Qs)
(4h, 8d, Td, Qh, Kc)
(3s, 4h, Qs, Qd, Kh)
(3s, 4s, Kd, Ks, Kh)
(3h, 5c, 5s, 8d, Jh)
(6d, 8h, Jd, Jc, Qd)
(7d, Td, Jd, Qh, Qd)
(2c, 5s, 9s, Qh, Ks)
(2h, 6h, Js, Jc, Kh)
(2h, 3d, 7h, 9c, Th)
(2c, 5c, 6h, Jh, Qd)
(2h, 2d, 4s, Jh, Qh)
(2c, 6c, 9d, Tc, Kh)
(2d, 5s, Jh, Qc, Ks)
(4h, 6s, Qc, As, Ah)
(7d, 8c, Jd, Kc, As)
(3c, 4h, 9c, Qh, As)
(2c, 4c, Js, Jd, Qc)
(6s, 6c, 8d, Tc, Kd)
(9c, 9h, Td, Qc, Ah)
(3s, 7s, Qh, As, Ac)
(2d, 6s, Jc, Qd, As)
(2s, 3d, 5h, 6h, Ks)
(3s, 5h, 5c, Th, Ah)
(2s, 9s, Js, Qc, Qs)
(5c, 6c, 9s, Js, Kc)
(2d, 6s, 7h, 9h, Jd)
(5s, 6h, 6c, 7s, Ah)
(2d, 7s, 8d, Qh, Ad)
(2c, 3h, 5d, 6d, 6c)
(3s, 8c, 9h, Ts, Js)
(4c, 4h, 6c, 9d, Kh)
(3c, 6c, 7h, Tc, Ac)
(2h, 3d, 6h, 9d, Ad)
(9d, Td, Js, Jd, Kd)
(2c, Th, Td, Kh, Kd)
(2d, 3c, 7d, Js, Qs)
(7h, 9h, Tc, Js, Ks)
(2s, 2d, 5h, 5d, 7c)
(2h, 5d, 6s, 7h, Kh)
(3s, Qh, Qd, Kc, Kh)
(3d, 5s, 7s, Js, Qc)
(4d, 8c, 8d, 9d, Kd)
(3s, 4c, 8h, Jd, Jh)
(2c, 3c, Th, Kh, Ac)
(8h, 9c, Tc, Kc, As)
(2d, 3d, 5h, 8s, Ad)
(3s, 4d, 8d, 9s, Kh)
(2h, 4c, 4s, 7s, 9s)
(5h, 6c, Jh, Qd, Qh)
(3s, 5d, 9d, Th, Qs)
(2h, 3s, 4d, 5d, Kd)
(5h, 6c, 8d, 8h, Js)
(4s, 7c, 8s, Jh, Kh)
(4h, 6d, 8s, Js, Qd)
(6c, 8h, 9h, Js, Qh)
(4h, 5d, 6d, Jh, As)
(3c, 6d, 7s, 9h, Qs)
(2d, 6s, 7h, Ts, Kd)
(3s, 9c, Td, Qd, Ad)
(2s, 2d, 5c, Qd, Kd)
(6h, 8c, Jh, Qc, Ad)
(4h, 4d, 5s, Tc, Kh)
(2s, 5c, 6c, 9h, Jh)
(4s, 4d, 6h, 6d, Qc)
(2h, 3c, 5c, Qc, Kh)
(2c, 2h, 3s, 5s, Th)
(2d, 5c, 6c, 9c, Ks)
(6s, 7s, 8c, Td, Tc)
(6h, 6d, 6c, Qc, Ac)
(8d, 8c, 9s, Kh, As)
(4h, 5d, 6d, 6s, Qs)
(2s, 5h, Jh, Qd, Kh)
(4d, 7c, 8s, Qc, Qs)
(5h, 6s, 9h, Kc, Ah)
(4h, 6h, Jc, Qs, Qc)
(6h, 9c, Jc, Qd, Qs)
(8d, Jc, Js, Qd, Ac)
(5h, Ts, Kh, Ac, Ah)
(4d, 5s, Qh, Qd, Ks)
(2d, 3c, 5s, Qh, Ks)
(2h, 2c, 6d, 9d, Td)
(6h, 7c, 9s, Kd, Kc)
(3c, 5s, 6s, Jh, Qd)
(5c, 5d, 5s, 8c, Jh)
(5h, 8s, 9d, 9s, Ad)
(3h, 5d, 5s, Ts, As)
(5d, Qs, Kc, As, Ac)
(2s, 3d, 6s, 8c, Tc)
(2s, 5c, 8h, 9s, Jh)
(2h, 5h, 6s, 9h, Kc)
(2h, 6c, 9h, Jc, As)
(3d, 5c, 6c, 9c, Tc)
(3d, 4s, 7h, Ts, Tc)
(2d, 5s, 6d, Qd, Kc)
(7c, Js, Jh, Jc, Qh)
(2h, 4c, 5d, 9c, Kh)
(2d, 2h, 5s, 6c, Qh)
(4d, 6d, Jd, Qs, As)
(2s, 3s, 5h, 6s, Ks)
(2h, 7s, 9h, Tc, Kd)
(2c, 4s, 8d, Th, Qd)
(3s, 9s, Jh, Qs, Kd)
(5c, 6s, Tc, Jd, Kc)
(5h, 7c, 8d, Ks, Kc)
(4h, 7c, Th, Kc, Ac)
(6c, 8c, 9h, Js, Qd)
(3d, Td, Qh, Qs, Ac)
(2d, 3c, 3h, 4h, Jh)
(5c, 5s, Jc, Qh, Kd)
(Ts, Td, Qd, Ks, Kc)
(4h, 7c, Td, Tc, Kd)
(2h, 9c, Tc, Th, Ac)
(3s, 5d, 8c, 9d, Kh)
(Jd, Js, Jc, Kd, As)
(4h, 9c, 9s, Jh, Ac)
(3c, 7c, 7d, Js, Qs)
(4c, 5h, 6c, 7h, Jc)
(4d, Th, Qs, Ks, Ac)
(6d, 8h, Th, Qd, Kd)
(2c, 4d, 6s, 7s, Th)
(4h, 5c, 9c, 9d, Qc)
(4c, 6c, Qc, Kd, Kc)
(2d, 3d, 6c, 9s, Ts)
(5s, 6d, 6h, 7h, Qh)
(2d, 4s, 5c, 7d, Ah)
(3c, 4c, 6d, 9h, Ah)
(2h, 4c, 7s, Qs, Qc)
(3h, 6d, Td, Jc, Qc)
(2s, 3c, 5d, Qs, Qc)
(2h, 5c, Th, Ks, Ah)
(2h, 7h, 7s, Qs, Ac)
(3c, 5d, 5h, 6c, Th)
(2c, 3c, Qc, Kd, Ac)
(3s, 5c, Js, Ac, Ad)
(4c, 5c, 8c, 9d, Ts)
(2h, 5s, 7s, 9c, Kd)
(3d, 7s, Qs, Kc, Ad)
(3c, 6c, 8c, Ts, Kd)
(2c, 5c, 5d, 9h, Ac)
(4c, 7h, 8s, 9h, Qc)
(5c, 6s, 8s, Qs, Kc)
(3s, 3h, 4d, 4c, Qd)
(8c, Th, Jc, Qs, As)
(3d, Jc, Js, Qh, As)
(5d, 5s, 8d, Js, Kc)
(3d, 6c, 7d, 7h, Ad)
(3d, 4d, 8h, Tc, Qd)
(2h, 3c, 5c, Tc, Ac)
(7d, 8s, 8c, 9c, As)
(3s, Th, Jc, Qs, Kc)
(2c, 2d, 3c, 4s, 7d)
(2h, 7h, Qc, Ks, As)
(2s, 7h, 7s, Kc, Kd)
(4s, 4d, 5s, Kc, As)
(3h, 5s, 8s, Ts, Qc)
(2h, 2s, Ts, As, Ac)
(2d, 4h, 5d, 6d, 6h)
(2d, 4h, 4s, Jd, Ah)
(6h, 9d, 9c, Jh, Qd)
(2d, 9s, 9d, Jh, Qs)
(3c, 7h, 8c, Ad, As)
(2d, 3h, 6d, 8h, As)
(4h, 5d, 5c, 7s, Ah)
(4s, 6h, Kc, Kh, Ad)
(5c, 6h, 8c, Jd, Ac)
(2d, 8c, Jd, Qd, As)
(2d, 6d, 7s, 7h, Kd)
(3s, 4h, 4d, 5h, 5d)
(4c, 8d, 9h, 9s, As)
(2d, 7s, 9c, Tc, As)
(2c, 3c, 5c, 5s, Qs)
(6h, 6s, 7d, Jd, Qd)
(3s, 4c, 8s, 9c, Qd)
(2d, 8h, Td, Tc, Qh)
(2d, 7h, 8s, Th, Tc)
(3c, 4s, 6d, Qd, As)
(5h, 8h, 9s, Qs, Qh)
(7c, 8h, Qd, Kc, Ac)
(2s, 4d, 6h, 7c, Jh)
(3s, 4s, 7d, Js, Ah)
(3h, 5c, 5d, 8c, Jd)
(4s, 6h, 8c, Tc, Qc)
(3h, 4c, 5d, Qd, Kh)
(3c, 6s, 7c, 9h, Kh)
(2d, 2s, 6d, Qh, Ad)
(5c, 8h, Ts, Jd, Qs)
(5c, 7d, 9h, Ks, Ah)
(3c, 3h, 7s, Jh, Kh)
(2h, 6s, 6d, 7s, 9c)
(2h, 4h, 9c, Tc, Jc)
(4d, 6c, Qs, Kc, Ad)
(4c, Th, Jd, Js, Qh)
(2d, 5c, 7c, 8s, Qd)
(6s, 8c, Jh, Qh, Kd)
(2h, 4h, 9c, Th, Js)
(4s, 5s, 6c, 7c, Ks)
(2d, 7h, Ks, As, Ac)
(7s, Th, Td, Js, Jd)
(2c, 2s, 6c, 9d, Qh)
(4c, 5s, 8h, Qh, Kc)
(2d, 3d, 4c, 4h, 9s)
(3h, 5c, 6d, Kh, Ah)
(3d, 6c, 7c, Qh, Kc)
(2c, 3h, 3c, 9c, Qd)
(6s, 7s, 9s, Qc, Kc)
(2s, 4d, Jd, Ks, Ah)
(4h, 8h, 9s, 9c, Qc)
(5c, 7d, 7h, Th, Qh)
(2d, 4c, 6h, 7d, Ah)
(2s, 6h, 7d, Qd, Ah)
(2s, 3h, 5h, 7c, Qh)
(2s, 3h, 5d, 5c, 6c)
(4h, 6h, 6c, 7c, Ks)
(2s, 3s, 8h, 9d, Ad)
(2h, 3s, 6d, 9d, Qh)
(2s, Tc, Td, Jh, Ac)
(2s, 3d, 3s, 3c, As)
(2h, 4d, 5d, 6c, 8c)
(5s, 7h, 8c, 9s, Kd)
(3s, 3h, 3d, 6c, 9d)
(2c, 4s, 9d, Td, Jh)
(4s, 5h, 9h, Td, As)
(4h, 5c, 7c, 8d, Js)
(3s, 7h, 9h, Jh, Qd)
(4c, 4h, 5s, Qs, Kc)
(4c, Ts, Qh, Ks, Kd)
(4h, 6h, 9c, 9s, Ks)
(5s, 7c, 9s, 9h, Td)
(2h, 3d, 6h, 9h, Qc)
(3h, 5s, 7d, 7s, Jh)
(3c, 8d, 8c, Qd, Ks)
(2h, 5c, Th, Qd, Ac)
(2h, 4h, 7c, 8s, 9c)
(2h, 4h, 7c, Td, Ah)
(2h, 4d, Td, Qd, Ah)
(4s, 8d, 9d, Jh, Qc)
(4s, 9d, 9s, Td, Ad)
(6h, 6s, 7d, 8c, Ah)
(4s, 6h, 6c, Qc, As)
(2s, 3d, Td, Kc, Ac)
(2s, 5h, 5s, 7h, Qh)
(4d, 6d, Ts, Jh, As)
(3d, 5s, 8h, Ac, Ad)
(2c, 4d, 4s, Jc, As)
(2d, 5h, 5d, Jd, Ks)
(2s, 8d, 9s, 9d, Jd)
(5c, 7d, 8c, 9s, Kc)
(3c, 4c, 5d, 8c, Ad)
(4c, 9c, Jh, Js, Jd)
(6d, 9c, Th, Jc, Ks)
(4d, 6s, 9d, Qh, Kd)
(5s, 5c, 7s, Jh, Qs)
(2h, 3d, 6h, Td, Kc)
(4d, 5d, 9s, Td, Th)
(5s, 5d, 7d, 9h, Ad)
(3s, 4s, 5h, Jh, Qc)
(3d, 4d, 9h, Ah, As)
(4h, 6c, 7s, 8s, 8c)
(2d, 3s, 6c, Ts, Kh)
(2h, 3d, 6s, 9d, Js)
(8c, Jc, Qd, Kd, Ac)
(3d, 3h, 9h, Jh, Qc)
(2s, 8h, Ts, Jh, Ah)
(2h, 6h, 9c, Ks, As)
(2c, 7d, 7h, Js, Jh)
(6c, 7d, 9d, 9c, Jh)
(2c, 8c, 9c, Tc, Ah)
(2d, 7h, 8c, Th, Kh)
(3c, 5h, 8h, 9h, As)
(4d, 5d, Js, Qc, Ah)
(2d, 2h, Ts, Ad, As)
(2c, 6h, 7h, 7s, Qh)
(6s, 8h, 8s, Th, Jc)
(6h, 9s, Js, Jc, Ad)
(3s, 8c, 9d, Kc, Kh)
(4h, 4c, 7s, Qd, Kc)
(3s, 5d, 5c, 8s, Ac)
(3c, 5d, Jc, Jd, Ac)
(2c, 6s, Qc, Kh, Ac)
(5s, 6s, 7d, Jd, Qh)
(2c, 2h, 6s, 7c, 9c)
(4c, 5s, 6h, 7d, Ks)
(5d, 5s, 6d, 7s, 9c)
(4c, 5c, 8c, Tc, Ad)
(7c, 7h, 9s, Jd, Jh)
(3d, 4h, 9c, Td, Qh)
(2d, 4d, 5c, 6d, Kd)
(4s, 6c, 7c, Jd, Ad)
(2h, 7h, 7c, 8c, Tc)
(4c, 5c, 5d, Th, Qd)
(4s, 6s, Td, Qc, Kh)
(3s, 4c, 5s, Td, Qh)
(7c, 9h, Jc, Kd, Kc)
(4d, 5d, 6c, Kh, Ad)
(3h, 4h, Jd, Kd, Ac)
(6s, Th, Tc, Qc, Qh)
(2h, 2s, 3s, 5s, 7s)
(3s, 4d, 6s, Th, Jd)
(3d, 3s, 5s, 6d, 7c)
(2d, 2s, 3c, 4h, 8h)
(2d, 7d, 7c, 8h, 8c)
(2d, 6h, 7h, Th, Kc)
(4c, 5s, 6h, 8s, Jh)
(7c, 8s, Th, Js, Qd)
(3c, 8d, 8h, Qc, Kh)
(2s, 4s, Ts, Td, Ah)
(4d, 5d, 7c, Tc, Ah)
(7c, 8h, Ts, Kh, Ah)
(2s, 6c, 8h, Kd, Ad)
(3c, 4c, 7h, Th, Js)
(5h, 7d, 7s, Qs, Qc)
(5h, 7h, Th, Qd, As)
(3d, 4s, 8s, Th, Ks)
(5c, 6c, Jc, Kh, Ac)
(2s, 5c, Tc, Qh, Kh)
(7d, 8s, 9h, Tc, Ad)
(2d, 2c, 8s, Js, Kh)
(3s, 5h, 7h, Jd, Ah)
(3s, 4h, 8h, Kh, Ad)
(5s, 7h, Jd, Ks, As)
(4c, 7h, 7c, 8d, Ks)
(4d, Jh, Kd, As, Ac)
(3s, 5s, 8d, Td, Ad)
(3d, 4h, 5h, Qc, Qh)
(3s, 4c, 9c, Jd, Qd)
(4c, 8s, 9d, Td, Ac)
(9h, Jd, Jc, Qc, Ac)
(2d, 3c, 5d, 6d, 6h)
(2d, 2h, 7s, Ts, Ad)
(2d, 5c, 9c, Jd, Ac)
(4h, 4c, 6s, Qd, Kc)
(4h, 4d, Jd, Kc, Kh)
(6h, 8h, 9s, Jh, Ah)
(3d, 5h, 6s, Qc, Qd)
(2d, 4h, 8d, 8h, Kd)
(6c, 6h, 7s, Td, Qs)
(6d, Th, Jd, Kc, Kd)
(2c, 4c, 5h, Tc, Kd)
(3c, 5s, 6h, Td, As)
(9c, Ts, Tc, Kd, Ks)
(3s, 4c, 6d, As, Ac)
(3s, 8d, Js, Qh, Ad)
(2h, 6h, 8h, Jd, Qs)
(4d, 6c, 9c, Qc, Ac)
(3s, 5d, 6c, 8c, Jc)
(4s, Jh, Qd, Kh, Ac)
(3d, 6c, 9h, 9c, Ac)
(3s, 4h, 5d, 6d, 6h)
(2c, 9c, Jc, Qc, Ks)
(2h, 5s, 9d, Ts, Kh)
(2c, 8c, 9s, Kh, Kc)
(2d, 3d, 4d, 8c, 9d)
(2s, 5d, 7c, 8s, Jc)
(2c, 4c, 6s, 8s, Ad)
(3c, 7s, 7h, 8s, Ks)
(4d, 5c, Jd, Js, Kd)
(5h, 6h, Tc, Jc, Qd)
(2s, 4s, 4d, 7s, Jc)
(2h, 3s, 8h, 9s, Ac)
(2d, 3s, 4c, Qd, Kd)
(3c, 8c, Ts, Jc, Kh)
(4c, 8h, Th, Ts, Tc)
(2d, 8s, Tc, Qd, Ac)
(4s, 6s, 8c, Qd, Qs)
(4d, 7s, Jc, Qs, Qc)
(2c, 3h, 3d, 4d, 6d)
(3h, 3c, 8s, 8d, Tc)
(4d, 7d, 8h, Jd, Qh)
(2s, 5d, 9c, Tc, Ac)
(2d, 2h, 2s, 8d, Jc)
(8d, 9s, Jc, Qc, Kc)
(3d, 3h, 4c, Qc, Ks)
(2c, 3d, 9s, Ts, Ac)
(4d, 7d, 7h, Td, Tc)
(4s, 8d, Jh, Jd, Qc)
(2c, 3d, 3s, 8h, Kc)
(4c, 5d, 7c, 9h, Kd)
(6c, 9h, Td, Qs, Qh)
(2h, 4s, 7s, 8s, Kc)
(9c, Jd, Ks, Kc, Ah)
(3s, 3d, 3h, 6d, Td)
(8h, 9h, Ts, Kd, Ad)
(2d, Ts, Jh, Qc, Qs)
(2c, 3d, 5c, Qd, Ks)
(2c, 6s, 7c, 8s, Ah)
(5d, 7s, 7c, 7d, Jc)
(4h, 8c, Ts, Qh, Kd)
(2c, 3d, 9h, Th, Ad)
(2d, 5d, 8s, Kc, Ah)
(5s, 5c, 6s, 7s, As)
(4d, 6s, 8c, 8d, Ad)
(2s, 3d, 5s, 7h, Jh)
(6c, Tc, Jc, Qh, Ac)
(3h, 4s, 8d, 9s, Ac)
(3d, 9c, 9s, Tc, Qh)
(5h, 5c, 8s, Kc, Kd)
(4c, 7c, 8s, Th, Ks)
(4s, 7c, 9s, Jc, Ks)
(6h, 9d, Ts, Qc, Qd)
(2s, 4s, 9c, 9s, Kc)
(2s, 6c, 8s, 8c, Jc)
(3c, 3d, Th, Jd, Ac)
(3d, 5h, 6h, 7d, Qh)
(4d, 9d, Jc, Qs, Ks)
(2c, 2d, 3s, 9c, Kd)
(6c, 7h, Td, Jd, Qd)
(3c, 5s, 8s, Js, Kc)
(4h, 5c, Tc, Kc, Ah)
(8h, 8s, 9s, Kc, Ah)
(3c, 4s, 4d, 5h, Qs)
(2d, 8h, Td, Th, Ac)
(2h, 6c, 8d, Kh, Ac)
(2h, 9s, Js, Qd, Kd)
(2d, 7d, Th, Jd, Ad)
(2h, 7c, Qd, Kh, Ad)
(9h, 9d, Qd, Ks, Ad)
(5c, 6d, 8c, Td, Ts)
(4h, 8s, Ts, Td, Tc)
(4d, 5d, Qc, Ad, Ac)
(2s, 9d, Jh, Jd, Ac)
(4d, 7h, Tc, Td, Js)
(6s, 7s, 8d, Ks, Ad)
(2c, 5c, Tc, Th, Ah)
(2s, 3s, 4d, 4s, Qs)
(5d, 7s, Ts, Td, Kh)
(3c, 4h, 7h, Ts, Kc)
(3d, 4h, Tc, Qc, Ac)
(3d, 4c, 5c, 6s, 8s)
(5c, 5s, 5d, Qd, Qc)
(2h, 3h, 6s, 6h, Kh)
(2d, Ts, Qs, Kd, Ah)
(4d, Jd, Qd, As, Ah)
(2d, 5s, 8d, Js, Ac)
(4c, 4s, 8h, 9d, Th)
(6c, 9h, Qs, Qd, Ac)
(3d, 4s, 5c, 7s, Qd)
(3d, 7h, Ts, Jd, Qh)
(4c, 6s, Qc, Qh, As)
(2h, 8c, Td, Qh, As)
(4d, 5h, 8h, 8s, Tc)
(3d, 3c, 3h, 5c, Jh)
(2d, 3h, 7s, Qc, Kd)
(5c, 6s, Jd, Qh, Ah)
(3s, 4s, 6c, 7s, Qs)
(3s, 4c, Jh, Jd, Kd)
(3c, 4d, 7h, Ks, Kh)
(3h, 9d, Js, Qc, Kc)
(3c, 6c, Jh, Qc, Kc)
(4d, 5c, 6s, Jh, Ks)
(2c, 3s, 5s, 5d, Qh)
(2h, 5h, 6s, 7c, Ac)
(2s, 2d, 4s, 7c, 9c)
(5c, 6h, 9h, Ks, Kd)
(4h, 8s, Ts, Kc, Ah)
(2s, 2d, 4h, Qs, Ks)
(2d, 3h, Jc, Ks, Ah)
(4c, 5h, 7s, 8h, 9h)
(5h, 6c, 6d, Qh, Ac)
(3d, 5c, 7h, 7s, 9c)
(6d, 8h, 8c, Td, Qc)
(4h, 8h, Jh, Qd, Kc)
(2h, 3s, 4c, 9c, Jc)
(3d, 3c, 7d, 8s, 8h)
(2h, 4s, 5h, 6s, 7s)
(4h, 4c, 5c, 8s, Th)
(2c, 3d, 7d, Ts, Ac)
(3d, 8d, Tc, Js, Qc)
(4d, 5d, 5c, 8c, 9c)
(6s, 8d, 9h, Kd, Ac)
(5c, 5s, 7h, 8h, 9s)
(3d, 4h, 7h, Jd, Qd)
(2c, 3c, Jc, Jh, Ac)
(2c, 2h, 4c, 6s, 8h)
(3d, 3h, 5c, 9d, Th)
(2c, 7c, Th, Ts, Qs)
(4d, 6h, 7s, 8c, 9d)
(2s, 5s, 7h, Ts, Kc)
(6d, 8h, 9h, Qh, Kd)
(5h, 7h, Qd, Kd, As)
(3c, 7s, 8c, Ts, Kc)
(5s, 5h, 7c, Ts, Jc)
(5s, 6s, 9c, 9d, Ts)
(2h, 4h, 6d, Qc, As)
(4h, Js, Ks, Kh, Ah)
(7d, 9c, Td, Jd, Qh)
(7c, 9h, Ts, Qc, Ad)
(2c, 3c, 9c, 9h, Kd)
(8c, Js, Qd, Qc, Kd)
(5c, 6h, Jd, Kd, Ah)
(2h, 7c, Td, Jh, Qh)
(5d, 7s, Jd, Kc, Ah)
(4d, 5c, 8h, Qd, Kc)
(2d, 5h, 7d, Ks, Ad)
(4s, 5h, 5c, 5s, Tc)
(4c, 8h, Th, Qs, Qh)
(2c, 3c, 5c, 8d, Tc)
(6d, 9s, 9c, Ts, Ks)
(7c, 8d, Td, Qh, Kd)
(2c, 4c, Jc, Kh, Ah)
(2c, 8s, 9h, Qc, Qh)
(3c, 3s, Tc, Qs, Kh)
(3c, 6d, 8c, Kh, Ac)
(2s, 2h, 5d, 6d, Qh)
(3h, 4h, 7s, 8s, 9c)
(2c, 2d, 3h, 6h, Jd)
(2c, 5d, 8d, Td, Ts)
(7s, 8d, Jd, Kd, Kh)
(3d, 8d, Tc, Jh, Kd)
(2d, 4h, Th, Jd, Ad)
(2h, 2c, 8d, Qs, Qh)
(5c, Jc, Qh, Kc, Ac)
(2s, 4c, 4h, Tc, Qd)
(2h, 5s, 7d, Tc, Kd)
(4h, 6d, 6c, Ts, Jc)
(3c, 5c, 7s, Ac, Ah)
(2d, 2s, 6c, Th, Ad)
(2c, 4h, 8d, Js, Qs)
(2c, 4c, Th, Js, Qc)
(3d, 5h, 6s, Kh, As)
(3c, 5s, 5d, Jd, Kd)
(3h, 6s, 7s, 9d, Jd)
(4d, 8d, Kd, Ah, Ac)
(5c, 6d, 8s, Td, Qd)
(2h, 5h, 6c, 6h, 8h)
(3c, 5c, 5s, Td, Jh)
(3h, 5c, 5d, 7c, As)
(2d, Js, Jh, Qc, As)
(3s, 4d, 5d, 8d, Ad)
(5h, 7s, 9d, Th, Kd)
(3s, 4d, 5d, Kh, As)
(2c, 4h, 6c, Jc, Ad)
(2h, 3d, 5c, Td, Qc)
(4c, 6d, 8d, Kd, Ah)
(8s, 9d, Ts, Qh, Qs)
(4s, Jc, Qh, Ks, Ah)
(6d, 7c, Tc, Qd, Kd)
(2d, 3h, 8h, 8s, Td)
(3s, 6h, Jh, Qs, Kd)
(4c, 5d, 6s, 8c, Ad)
(5s, 7h, 7d, Qh, Qs)
(4d, 7h, 8s, 8d, Ts)
(4h, 5c, 7c, Qc, Ad)
(4h, 6s, 9s, Qc, Ad)
(6c, 7c, 9h, Jd, Qc)
(4s, 4c, 8d, Qc, As)
(2c, 3c, 4s, 6c, 9s)
(2s, 4s, 5c, Kc, Ad)
(2s, 2d, 3h, 4d, Qc)
(3h, 7s, 9h, Kd, As)
(7s, 8d, 9c, Qc, Kh)
(2h, 4s, 6h, 9c, Ac)
(3d, 3s, Td, Jh, Qc)
(3h, Jh, Jd, Qc, Ks)
(8d, 9h, Td, Jc, Js)
(4d, 6s, 9h, Qc, Qs)
(4h, 5d, 6d, Qd, Kd)
(3h, 3d, Jd, Jc, Ah)
(4s, 8c, 9d, Kd, As)
(3c, 5s, 8d, 9s, Kh)
(8h, Js, Jc, Kd, Kc)
(2s, 3c, 5c, 7s, 8h)
(2s, 4d, 7c, Qd, Ah)
(3s, Ts, Qd, Kd, Ac)
(2d, 5c, 8c, 8d, 9s)
(4h, 4s, 6s, Ts, Qs)
(2c, 4h, 9c, Kc, Kh)
(2c, 5d, 6h, 8h, Js)
(2d, 4c, 5h, Jh, Kd)
(3s, 8h, Td, Qs, Ah)
(4d, 6h, 8d, Tc, Jc)
(3c, 5d, 7c, Kh, As)
(4h, 5c, 7c, Jd, Qh)
(3s, 5d, 6h, 9h, Kc)
(2s, 8c, 9s, Qh, As)
(2h, 3c, 5h, 6d, As)
(2h, 3d, 4h, 8s, 8c)
(2c, 7h, 8d, Ks, As)
(2c, 4c, 7h, 8d, Ts)
(2c, 4c, 5h, 5c, 5s)
(4d, 5c, 9h, Qh, Kd)
(2s, 3c, 4h, 7s, Qd)
(2c, 3d, 4s, 6d, 8c)
(2d, 3s, 7d, Th, Jh)
(6c, 7s, 8s, 8c, 9s)
(3c, 5d, 8d, 9h, As)
(6s, 7h, 9h, As, Ac)
(5s, 5c, 9d, Th, Qh)
(4s, 9d, Td, Th, Tc)
(2s, 3s, 8c, 9c, Jd)
(2h, 6c, 8d, Jd, As)
(2s, 4s, 5d, Jc, Kc)
(3h, 4s, 6c, 6h, As)
(5d, 7c, Th, Tc, Qs)
(3h, 5s, Jd, Js, Ah)
(7h, 9d, Tc, Qd, Ac)
(4d, 5c, 8d, 8h, 9d)
(6s, 9d, Tc, Jc, Kc)
(5h, 6h, 8c, Jh, Kc)
(5h, 7c, Th, Jd, Kd)
(3c, 3d, 6d, Tc, Jd)
(3s, 7c, 9c, Jd, Ah)
(2h, 5s, 6c, 8d, Kd)
(3d, 7d, Qc, Qs, Ah)
(3h, 7d, Jc, Kc, Ac)
(2s, 5h, 8c, 9s, Kh)
(2c, 3h, 7h, Qc, Kh)
(4c, 5c, 5s, Qh, Kh)
(4d, 4c, 4s, 9h, Th)
(4h, 6c, 6s, Qc, Kd)
(2c, 3s, 3d, 7c, 9c)
(3c, 5c, 7h, 7c, Qd)
(6c, 8h, 9d, Jh, Ad)
(6d, 6s, 7h, 9d, Js)
(4h, 4c, 7s, Ts, Jh)
(2h, 3d, Td, Kd, As)
(8c, 8s, Kh, Kd, Ad)
(2c, 7c, 7h, Ts, Jc)
(6h, 9c, Qc, Kc, Ac)
(2d, Ts, Jc, Qd, As)
(2s, 8h, Tc, Qc, Ac)
(4s, 4h, 7h, 9s, Kd)
(6c, 6h, 7c, 7s, Qs)
(3c, 8d, 9h, Tc, Jd)
(5h, 9s, Qc, As, Ah)
(3h, 4h, 5s, 7c, 9h)
(2c, 4c, 5d, 7h, Kd)
(4c, 7s, 8h, Jc, Js)
(4h, 6d, 7s, Th, Qs)
(4s, 8s, Tc, Js, Ad)
(4d, 8c, 8h, Ts, Qc)
(3d, 7d, 8h, Qs, Qd)
(8d, Tc, Jd, Js, Kc)
(2c, 3h, Tc, Kc, Ad)
(3h, 6s, Js, Jh, Ah)
(2s, 5c, 8s, 9d, Ac)
(3s, 4d, 5d, 6c, Jd)
(3d, 4s, 5c, 5d, Js)
(3h, 3d, 3c, 7d, Jc)
(2s, 4s, Th, Ah, As)
(2c, 8c, Qh, Ah, Ac)
(4s, 4h, 5h, 6c, Ts)
(6h, 7s, 7h, Tc, Jh)
(3s, 6d, 9s, Qh, Qc)
(2s, 5h, 6d, 8c, Ad)
(2s, 6d, 7c, 9c, Tc)
(4s, 5s, 9h, Jd, Jh)
(2s, 4s, Jc, Kh, Ad)
(3h, 3c, 6d, Js, Qd)
(5d, 7c, 8s, Jc, Qc)
(6d, 9d, Th, Ts, Kc)
(2c, 5s, 7s, Jd, Kd)
(2c, 6d, 6s, Jh, Ah)
(4h, 7h, 8d, Qc, Ah)
(2c, 5d, 8s, Ad, Ah)
(7d, 8s, Tc, Jd, Kd)
(2s, 3h, 3d, 5s, Jc)
(2d, 6d, 7s, 7h, Kd)
(2d, 4h, 5c, 7h, Qc)
(2s, 8h, 8d, Th, Js)
(4s, 5d, 7s, 8h, Qh)
(2d, 5s, Jd, As, Ac)
(3c, 4s, 7d, 8s, Qc)
(4h, 9d, Qs, Ks, Kc)
